title,salary,city,job,publish_date,requirements,responsibilities,schedule,experience,employment,url
Рекрутер,,Алматы,TVIN KAZAKHSTAN (ТВИН КАЗАХСТАН),18-11-2025 14:50:01,Отличные коммуникативные навыки. - Компьютерная грамотность. - Опыт работы по подбору персонала приветствуется. - Знание казахского и английского языков приветствуется.,Составление продающих объявлений о вакансии. - Поиск кандидатов на различных сервисах по подбору персонала. - Ведение переписки с заказчиками и соискателями. - ,"{'id': 'flexible', 'name': 'Гибкий график'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/127067013
Менеджер по подбору персонала,250000 - 250000 KZT,Астана,Ушакова И.В.,12-11-2025 12:05:53,"Средне-специальное, либо высшее образование юридическое. Опыт работы не менее 1-го года. Отличное знание Трудового кодекса РК. ","Ведение кадрового делопроизводства (составление и оформление трудовых договоров, дополнительных соглашений, штатных расписаний, приказов, должностных инструкций, актов работодателя и т.д.). ","{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/126599257
Менеджер по подбору персонала,450000 KZT,Алматы,Skill Hub,07-11-2025 07:55:05,Опыт работы в подборе персонала от 2 лет. Знание методов поиска и привлечения кандидатов. Навыки работы с порталами для поиска...,Полный цикл подбора персонала: от размещения вакансий до выхода кандидатов на работу. Взаимодействие с руководителями подразделений для определения. ,"{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/127389947
Менеджер по подбору персонала,150000 KZT,Актау,Urynbassarov Bekzhan,28-10-2025 11:50:27,"Опыт подбора персонала от 1 года (массовый найм — плюс). Умение находить и проверять рабочих специальностей. Знание Telegram, hh.kz, OLX, WhatsApp...","Подбирать персонал для объектов промышленного питания (вахтовые посёлки, производство, кухня, доставка, клининг). Размещать вакансии на hh.kz, OLX, Telegram, Instagram и...","{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/127051940
Менеджер по подбору персонала,200000 KZT,Усть-Каменогорск,Пицца Блюз Сервис,19-11-2025 06:46:23,Образование средне-специальное. Опыт в данном направлении не менее 1 года.,"Размещение вакансий на сайтах, и других источниках информации. Проведение собеседований, прием звонков.","{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/126640385
Senior Recruitment Specialist,,Алматы,"Международный Аэропорт Алматы, АО",19-11-2025 14:46:56,Min 1 year of experience in recruiting or similar HR role. Excellent understanding of recruitment processes. Good knowledge of candidates...,Communicate with internal clients to get a clear view on their hiring needs and organizational goals. Define job description and...,"{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/126734939
Рекрутер,250000 - 500000 KZT,Актобе,Вибро Мастер Казахстан,20-11-2025 11:04:46,,Принимать и прорабатывать заявки на подбор персонала от руководителей подразделений. Размещать вакансии на актуальных площадках и в соцсетях. ,"{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/127136880
Специалист по персоналу (КДП + рекрутинг),278000 KZT,Усть-Каменогорск,Green House Limited,31-10-2025 13:46:20,"Опыт работы на аналогичной должности от 1 года. Коммуникабельность, исполнительность, дисциплинированность. Опыт в подборе персонала.",Поиск и подбор персонала. Ведение кадрового делопроизводства.,"{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/127181874
HR Specialist / Специалист отдела кадров (рекрутер),,Алматы,Бюро Веритас Казахстан Индастриал Сервисез,11-11-2025 13:22:07,"Высшее образование. Опыт работы в подборе персонала или HR не менее 2 лет. Разговорный уровень английского языка (ведение переписки, участие...","Размещение и ведение вакансий на всех этапах подбора персонала (поиск, первичный отбор, организация интервью). Ведение базы кандидатов и подготовка отчетов...","{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/126816152
HR менеджер по массовому подбору персонала и развитию,400000 KZT,Алматы,Прима Кус,19-11-2025 10:48:10,Высшее образование по управлению персоналом/экономика/менеджмент. Опыт работы и опыт лучших практик по найму персонала и развитию. ,"Подбор персонала любых категорий производственного предприятия (птицефабрика). Планирование, работа с руководителями производства для усиления системы удержания персонала. Построение (создание) комплексной...","{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/127095197
